,changepoint_prior_scale,seasonality_prior_scale,mape,mae,rmse
0,0.001,0.01,0.7407530766574252,22665.873025550343,22931.321564170987
1,0.001,0.1,0.6748304914702172,22962.541666667163,23890.39248555107
2,0.001,1.0,0.6747969134239897,23018.05395524343,24020.209984262918
3,0.001,10.0,0.6737804391485165,22967.05898842315,23944.652973278404
4,0.01,0.01,0.24530176266788062,8685.399029934037,10045.586478373149
5,0.01,0.1,0.2812467702100705,10271.710317989642,13675.6377542493
6,0.01,1.0,0.2897000395137567,10610.149942598602,13879.731497210052
7,0.01,10.0,0.29073450663748845,10669.729090253904,13891.771613090663
8,0.1,0.01,0.10281085730357205,3387.6387050783956,4169.911234605771
9,0.1,0.1,0.061741428073438825,1990.1983230346775,2548.2344779127557
10,0.1,1.0,0.06161312311929726,1978.1499339488273,2535.0780510760624
11,0.1,10.0,0.06157337245177005,1969.8865516957212,2528.0685512669015
12,0.5,0.01,0.10081828564347521,3121.217982458001,3854.179816967126
13,0.5,0.1,0.07316011885728885,2182.1960895436846,2794.74190309284
14,0.5,1.0,0.07500068977190322,2258.6080647405333,2897.4947699104678
15,0.5,10.0,0.07361416632744244,2202.0940777442474,2850.4073586068894
